id,product_name,brand,model,category,gender,release_date,release_year,retail_price_usd,main_color,colorway,avg_resale_price_usd,resale_premium_pct,is_collab,collab_partner
184,Vans Authentic Black,Vans,Authentic,Skate,Unisex,2015-01-01,2015,50,Black,Black/Black,50,0,0,
185,Vans Slip-On Checkerboard Black White,Vans,Slip-On,Skate,Unisex,2015-01-01,2015,50,Black,Black/White Checkerboard,75,50,0,
186,Crocs Classic Clog White,Crocs,Classic Clog,Slides,Unisex,2018-01-01,2018,45,White,White/White,45,0,0,
187,Crocs Classic Clog Black,Crocs,Classic Clog,Slides,Unisex,2018-01-01,2018,45,Black,Black/Black,33.75,-25,0,
188,Crocs Classic Clog Salehe Bembury Cucumber,Crocs,Pollex Clog,Slides,Men,2021-12-14,2021,85,Green,Cucumber/Green,425,400,1,Salehe Bembury
189,Crocs Classic Clog Salehe Bembury Tide,Crocs,Pollex Clog,Slides,Men,2022-05-24,2022,85,Blue,Tide/Blue,255,200,1,Salehe Bembury
190,Crocs Classic Clog Lightning McQueen,Crocs,Classic Clog,Slides,Kids,2017-06-01,2017,45,Red,Lightning McQueen Red,67.5,50,0,
191,Salomon XT-6 Advanced White Lunar Rock,Salomon,XT-6,Lifestyle,Unisex,2019-04-01,2019,190,White,White/Lunar Rock,285,50,0,
192,Salomon XT-6 Advanced Black,Salomon,XT-6,Lifestyle,Unisex,2019-04-01,2019,190,Black,Black/Phantom,142.5,-25,0,
193,Salomon XT-4 Advanced S Lab Red,Salomon,XT-4,Trail,Unisex,2018-03-01,2018,180,Red,Red/Fiery Red,360,100,0,
194,Hoka One One Bondi 7 Black,Hoka One One,Bondi 7,Running,Men,2020-09-01,2020,150,Black,Black/Black,150,0,0,
195,Hoka One One Clifton 8 Triple White,Hoka One One,Clifton 8,Running,Men,2021-06-15,2021,130,White,White/White,97.5,-25,0,
196,Nike ZoomX Vaporfly NEXT% 2 White Pink,Nike,ZoomX Vaporfly NEXT% 2,Running,Men,2021-04-15,2021,250,White,White/Pink Blast,375,50,0,
197,Nike ZoomX Vaporfly NEXT% 2 Blue,Nike,ZoomX Vaporfly NEXT% 2,Running,Men,2021-06-01,2021,250,Blue,Blueprint/White,250,0,0,
198,Nike ZoomX Alphafly NEXT% Volt,Nike,ZoomX Alphafly NEXT%,Running,Men,2020-07-02,2020,275,Yellow,Volt/Black,550,100,0,
199,Nike Zoom Fly 3 Black,Nike,Zoom Fly 3,Running,Men,2019-07-11,2019,160,Black,Black/Anthracite,112,-30,0,
200,Nike Zoom Fly 3 Tokyo,Nike,Zoom Fly 3,Running,Men,2020-01-25,2020,160,Pink,Flash Crimson/Black,240,50,0,
201,Air Jordan 5 Retro Fire Red (2020),Jordan,Air Jordan 5,Basketball,Men,2020-05-02,2020,200,White,White/Fire Red/Black,260,30,0,
202,Air Jordan 5 Retro Raging Bull (2021),Jordan,Air Jordan 5,Basketball,Men,2021-04-10,2021,190,Red,Varsity Red/Black,171,-10,0,
203,Air Jordan 5 Retro Top 3,Jordan,Air Jordan 5,Basketball,Men,2020-06-20,2020,200,Black,Black/Fire Red/Grape Ice,100,-50,0,
204,Air Jordan 5 Retro Moonlight Oreo,Jordan,Air Jordan 5,Basketball,Men,2021-09-11,2021,190,White,White/Black/Cool Grey,285,50,0,
205,Air Jordan 6 Retro Carmine (2021),Jordan,Air Jordan 6,Basketball,Men,2021-02-13,2021,200,Red,White/Carmine/Black,300,50,0,
206,Air Jordan 6 Retro Travis Scott Medium Olive,Jordan,Air Jordan 6,Basketball,Men,2019-10-11,2019,250,Green,Medium Olive/Black/Sail,1250,400,1,Travis Scott
207,Air Jordan 6 Retro Infrared (2019),Jordan,Air Jordan 6,Basketball,Men,2019-02-16,2019,200,Black,Black/Infrared,200,0,0,
208,Air Jordan 6 Retro UNC White,Jordan,Air Jordan 6,Basketball,Men,2022-03-05,2022,210,Blue,University Blue/White/Black,315,50,0,
209,Air Jordan 7 Retro Bordeaux (2015),Jordan,Air Jordan 7,Basketball,Men,2015-07-18,2015,190,Grey,Bordeaux/Black/Light Graphite,95,-50,0,
210,Air Jordan 7 Retro Hare 2.0,Jordan,Air Jordan 7,Basketball,Men,2020-04-11,2020,190,Grey,Neutral Grey/Summit White/Pink,95,-50,0,
211,Air Jordan 12 Retro Flu Game (2016),Jordan,Air Jordan 12,Basketball,Men,2016-05-28,2016,190,Black,Black/Varsity Red,285,50,0,
212,Air Jordan 12 Retro Game Royal,Jordan,Air Jordan 12,Basketball,Men,2019-10-12,2019,190,Blue,Black/Game Royal,133,-30,0,
213,Air Jordan 13 Retro He Got Game (2018),Jordan,Air Jordan 13,Basketball,Men,2018-08-04,2018,190,White,White/Black/True Red,190,0,0,
214,Air Jordan 13 Retro Flint (2020),Jordan,Air Jordan 13,Basketball,Men,2020-05-30,2020,190,Blue,White/Flint Grey/Navy,285,50,0,
215,Air Jordan 13 Retro Starfish,Jordan,Air Jordan 13,Basketball,Men,2021-01-16,2021,190,Orange,White/Black/Starfish,95,-50,0,
216,Air Jordan 11 Retro Low Legend Blue (2021),Jordan,Air Jordan 11,Basketball,Men,2021-04-24,2021,185,White,White/Black/Legend Blue,277.5,50,0,
217,Air Jordan 5 Retro Off-White Sail,Jordan,Air Jordan 5,Basketball,Men,2020-10-29,2020,225,Cream,Sail/Fire Red/Black,1125,400,1,Off-White
218,Air Jordan 2 Retro Union Grey Fog,Jordan,Air Jordan 2,Basketball,Men,2022-04-15,2022,225,Grey,Grey Fog/Siren Red,675,200,1,Union LA
219,Air Jordan 1 Retro Low OG Year of the Rabbit,Jordan,Air Jordan 1,Basketball,Men,2023-01-11,2023,160,Brown,Brown/White/Grey,800,400,0,
220,Air Jordan 1 Retro Low OG Black Toe (2023),Jordan,Air Jordan 1,Basketball,Men,2023-08-04,2023,140,Black,White/Black/Varsity Red,210,50,0,
221,Nike LeBron 8 South Beach (2021),Nike,LeBron 8,Basketball,Men,2021-07-23,2021,200,Teal,Retro Teal/Pink Flash,600,200,0,
222,Nike LeBron 18 Low Bugs vs Marvin,Nike,LeBron 18 Low,Basketball,Men,2021-07-16,2021,160,Black,Black/University Red,80,-50,0,
223,Nike Kyrie 4 Halloween,Nike,Kyrie 4,Basketball,Men,2017-10-31,2017,120,Green,Black/Green Glow,180,50,0,
224,Nike Kyrie 5 Taco PE,Nike,Kyrie 5,Basketball,Men,2018-11-16,2018,130,Grey,Grey/Orange/Black,260,100,1,Taco
225,Nike KD 13 Easy Money Sniper,Nike,KD 13,Basketball,Men,2020-10-24,2020,160,Green,Pine Green/White,80,-50,0,
226,Nike PG 2.5 PlayStation Grey,Nike,PG 2.5,Basketball,Men,2018-02-10,2018,110,Grey,Wolf Grey/Blue/Black,330,200,1,PlayStation
227,Nike LeBron 7 Fairfax Home,Nike,LeBron 7,Basketball,Men,2020-03-06,2020,200,White,White/Varsity Red,140,-30,0,
228,Nike LeBron 7 Media Day,Nike,LeBron 7,Basketball,Men,2020-05-16,2020,200,Yellow,Amarillo/Varsity Purple,600,200,0,
229,Nike Zoom Freak 1 Black White,Nike,Zoom Freak 1,Basketball,Men,2019-06-29,2019,120,Black,Black/White,60,-50,0,
230,Nike Kobe 5 Protro Chaos,Nike,Kobe 5 Protro,Basketball,Men,2020-01-03,2020,180,Green,White/Green Apple/Eggplant,540,200,0,
231,Nike Kobe 5 Protro 5 Rings,Nike,Kobe 5 Protro,Basketball,Men,2020-08-24,2020,180,Blue,Concord/Midnight Navy,270,50,0,
232,Nike Kobe 5 Protro PJ Tucker,Nike,Kobe 5 Protro,Basketball,Men,2020-09-25,2020,180,Multi,White/Orange/Purple,540,200,1,PJ Tucker
233,Nike Zoom GT Cut 2 Barely Volt,Nike,Zoom GT Cut 2,Basketball,Men,2022-09-01,2022,170,Yellow,Barely Volt/Black,119,-30,0,
234,Nike Zoom GT Jump Black,Nike,Zoom GT Jump,Basketball,Men,2022-01-15,2022,180,Black,Black/White,90,-50,0,
235,Nike Blazer Mid 77 Vintage White Black,Nike,Blazer Mid '77,Lifestyle,Men,2020-01-01,2020,100,White,White/Black,100,0,0,
236,Nike Blazer Mid sacai Snow Beach,Nike,Blazer Mid,Lifestyle,Men,2019-05-30,2019,140,Multi,Blue/Red/Yellow,560,300,1,Sacai
237,Nike Blazer Mid sacai Black Grey,Nike,Blazer Mid,Lifestyle,Men,2019-10-10,2019,140,Black,Black/Wolf Grey,280,100,1,Sacai
238,Nike Air Force 1 Low Undefeated 5 On It Blue,Nike,Air Force 1,Lifestyle,Men,2021-08-07,2021,140,Blue,Blue/White/Yellow,210,50,1,Undefeated
239,Nike Air Force 1 Low Supreme Box Logo White,Nike,Air Force 1,Lifestyle,Men,2020-03-05,2020,96,White,White/White/Red,384,300,1,Supreme
240,Nike Air Force 1 Low Supreme Box Logo Black,Nike,Air Force 1,Lifestyle,Men,2020-03-05,2020,96,Black,Black/Black/Red,192,100,1,Supreme
241,Nike Air Zoom Pegasus 38 Black White,Nike,Air Zoom Pegasus 38,Running,Men,2021-04-22,2021,120,Black,Black/White,84,-30,0,
242,Nike Air Zoom Pegasus 39 Shield,Nike,Air Zoom Pegasus 39,Running,Men,2022-10-01,2022,140,Black,Black/Reflect Silver,105,-25,0,
243,Nike React Infinity Run Flyknit,Nike,React Infinity Run,Running,Men,2020-02-06,2020,160,White,White/Black/Volt,112,-30,0,
244,Nike Free RN 5.0 Black,Nike,Free RN 5.0,Running,Men,2019-04-01,2019,100,Black,Black/Anthracite,50,-50,0,
245,Nike Air VaporMax Flyknit 3 Triple Black,Nike,Air VaporMax Flyknit 3,Running,Men,2019-04-25,2019,200,Black,Black/Black,200,0,0,
246,Nike Air VaporMax Plus Triple Black,Nike,Air VaporMax Plus,Running,Men,2018-02-28,2018,190,Black,Black/Black,285,50,0,
247,Nike Air VaporMax Off-White Black,Nike,Air VaporMax,Running,Men,2018-03-30,2018,250,Black,Black/Clear,1250,400,1,Off-White
248,Nike Air VaporMax Off-White White,Nike,Air VaporMax,Running,Men,2018-03-30,2018,250,White,White/Clear,750,200,1,Off-White
249,Nike Air Max Plus TN Tiger,Nike,Air Max Plus,Running,Men,2018-08-09,2018,170,Orange,Orange/Black,255,50,0,
250,Nike Air Max Plus TN Triple Black,Nike,Air Max Plus,Running,Men,2018-01-15,2018,170,Black,Black/Black,102,-40,0,
251,adidas Superstar White Black,adidas,Superstar,Lifestyle,Unisex,2015-01-01,2015,80,White,Cloud White/Core Black,80,0,0,
252,adidas Superstar White Green,adidas,Superstar,Lifestyle,Unisex,2018-05-01,2018,80,White,Cloud White/Green,60,-25,0,
253,adidas Gazelle Collegiate Green,adidas,Gazelle,Lifestyle,Unisex,2016-06-01,2016,80,Green,Collegiate Green/White,120,50,0,
254,adidas Gazelle Blue,adidas,Gazelle,Lifestyle,Unisex,2016-06-01,2016,80,Blue,Blue/White,40,-50,0,
255,adidas Campus 00s Core Black,adidas,Campus 00s,Lifestyle,Men,2023-01-19,2023,110,Black,Core Black/White,165,50,0,
256,adidas Campus 00s Pink Fusion,adidas,Campus 00s,Lifestyle,Women,2023-02-01,2023,110,Pink,Pink Fusion/White,82.5,-25,0,
257,adidas Handball Spezial Navy Gum,adidas,Handball Spezial,Lifestyle,Men,2023-04-01,2023,110,Blue,Collegiate Navy/Gum,220,100,0,
258,adidas Spezial Silver Green,adidas,Spezial,Lifestyle,Men,2023-05-01,2023,110,Green,Silver Green/White/Gum,165,50,0,
259,adidas Samba OG Light Blue,adidas,Samba OG,Lifestyle,Women,2023-03-01,2023,100,Blue,Light Blue/Cloud White/Gum,200,100,0,
260,adidas Gazelle Indoor Sean Wotherspoon Corduroy,adidas,Gazelle Indoor,Lifestyle,Men,2023-06-01,2023,140,Multi,Multi-Color/Corduroy,420,200,1,Sean Wotherspoon
261,Yeezy Foam RNNR Ararat,Yeezy,Foam RNNR,Slides,Men,2020-06-26,2020,75,Cream,Ararat/Ararat,300,300,0,
262,Yeezy Foam RNNR Sand,Yeezy,Foam RNNR,Slides,Men,2020-09-18,2020,75,Tan,Sand/Sand,150,100,0,
263,Yeezy Foam RNNR Vermilion,Yeezy,Foam RNNR,Slides,Men,2021-10-29,2021,80,Red,Vermilion/Vermilion,160,100,0,
264,Yeezy Foam RNNR Onyx,Yeezy,Foam RNNR,Slides,Men,2022-06-08,2022,90,Black,Onyx/Onyx,135,50,0,
265,Yeezy Slide Glow Green,Yeezy,Yeezy Slide,Slides,Men,2021-09-06,2021,60,Green,Glow Green/Glow Green,180,200,0,
266,Yeezy Slide Pure,Yeezy,Yeezy Slide,Slides,Men,2021-04-26,2021,60,Tan,Pure/Pure,90,50,0,
267,Yeezy Slide Resin,Yeezy,Yeezy Slide,Slides,Men,2019-12-06,2019,55,Greenish,Resin/Resin,82.5,50,0,
268,Yeezy Knit RNR Sulfur,Yeezy,Knit RNR,Lifestyle,Men,2021-09-23,2021,200,Yellow,Sulfur/Sulfur,400,100,0,
269,Yeezy QNTM Quantum,Yeezy,Yeezy QNTM,Basketball,Men,2020-02-16,2020,250,Grey,Grey/Black,125,-50,0,
270,Yeezy BSKTBL Knit Energy Glow,Yeezy,Yeezy BSKTBL Knit,Basketball,Men,2021-12-18,2021,300,Green,Energy Glow/Black,150,-50,0,
271,New Balance 1906R White Silver,New Balance,1906R,Running,Men,2022-07-01,2022,150,White,White/Silver Metallic,150,0,0,
272,New Balance 1906R Protection Pack Harbor Grey,New Balance,1906R,Running,Men,2022-09-01,2022,170,Grey,Harbor Grey/Grey,340,100,0,
273,New Balance 1906R Aime Leon Dore Green,New Balance,1906R,Running,Men,2023-04-01,2023,170,Green,Green/Cream,510,200,1,Aime Leon Dore
274,New Balance 9060 Sea Salt,New Balance,9060,Lifestyle,Men,2022-09-03,2022,150,White,Sea Salt/White,225,50,0,
275,New Balance 9060 Nightwatch Green,New Balance,9060,Lifestyle,Men,2022-10-01,2022,150,Green,Nightwatch Green/Navy,112.5,-25,0,
276,New Balance 860v2 Aime Leon Dore Green,New Balance,860v2,Running,Men,2021-10-15,2021,150,Green,Green/Cream,600,300,1,Aime Leon Dore
277,New Balance 574 Core Grey,New Balance,574,Lifestyle,Men,2018-01-01,2018,85,Grey,Grey/White,63.75,-25,0,
278,New Balance 574 Navy,New Balance,574,Lifestyle,Men,2018-01-01,2018,85,Blue,Navy/White,85,0,0,
279,New Balance 327 Casablanca Red Monogram,New Balance,327,Lifestyle,Men,2021-11-01,2021,150,Red,Red/White/Monogram,450,200,1,Casablanca
280,New Balance 550 White Black Leather,New Balance,550,Basketball,Men,2022-02-15,2022,120,White,White/Black,108,-10,0,
281,ASICS Gel-Lyte III OG Salmon Toe (2020),ASICS,Gel-Lyte III,Lifestyle,Men,2020-11-27,2020,180,Pink,Salmon/Black,540,200,1,Kith
282,ASICS Gel-Lyte III OG Tokyo,ASICS,Gel-Lyte III,Lifestyle,Men,2020-07-24,2020,120,Blue,Blue/White,60,-50,0,
283,ASICS Gel-Kayano 14 White Black,ASICS,Gel-Kayano 14,Running,Men,2021-03-01,2021,150,White,White/Black,225,50,0,
284,ASICS GT-2160 White Silver,ASICS,GT-2160,Running,Men,2023-01-15,2023,120,White,White/Silver,180,50,0,
285,Salomon XT-6 Gore-Tex Black,Salomon,XT-6,Trail,Unisex,2022-10-01,2022,220,Black,Black/Black,330,50,0,
286,Salomon XT-4 OG Spearmint,Salomon,XT-4,Trail,Unisex,2021-05-01,2021,200,Green,Spearmint/White,300,50,0,
287,Hoka One One Clifton 8 Black,Hoka One One,Clifton 8,Running,Men,2021-06-15,2021,130,Black,Black/Black,130,0,0,
288,Hoka One One Bondi 8 White,Hoka One One,Bondi 8,Running,Men,2022-08-15,2022,165,White,White/White,123.75,-25,0,
289,On Running Cloud X Black,On,Cloud X,Running,Men,2020-03-01,2020,140,Black,Black/White,98,-30,0,
290,On Running Cloudmonster White Frost,On,Cloudmonster,Running,Men,2022-04-01,2022,170,White,White/Frost,255,50,0,
291,Nike Zoom Vomero 5 Vast Grey,Nike,Zoom Vomero 5,Running,Men,2019-01-01,2019,160,Grey,Vast Grey/Volt,240,50,0,
292,Nike Zoom Vomero 5 Doernbecher Zoe,Nike,Zoom Vomero 5,Running,Men,2019-02-23,2019,170,Multi,Multi-Color,510,200,1,Doernbecher
293,Nike Zoom Vomero 5 SP Pine Green,Nike,Zoom Vomero 5,Running,Men,2023-03-01,2023,160,Green,White/Pine Green,80,-50,0,
294,Nike Air Ship A Ma Maniere White Green,Nike,Air Ship,Basketball,Men,2022-09-15,2022,140,White,White/Green,420,200,1,A Ma Maniere
295,Nike Air Max 95 Atmos Safari,Nike,Air Max 95,Running,Men,2016-03-05,2016,170,Brown,Brown/Black/Safari,510,200,1,atmos
296,Nike SB Dunk Low Parra Abstract Art,Nike,Dunk Low,Skate,Men,2021-07-31,2021,110,Multi,White/Red/Blue,330,200,1,Parra
297,Nike SB Dunk Low Yuto Horigome,Nike,Dunk Low,Skate,Men,2023-08-16,2023,130,Grey,Grey/Brown/Pink,390,200,1,Yuto Horigome
298,Nike SB Dunk Low Orange Lobster Concepts,Nike,Dunk Low,Skate,Men,2022-12-21,2022,130,Orange,Orange/White,650,400,1,Concepts
299,Nike SB Dunk Low Los Angeles Dodgers,Nike,Dunk Low,Skate,Men,2022-10-01,2022,120,Blue,Deep Royal Blue/White,180,50,1,MLB
300,Nike SB Dunk Low Paisley Brown,Nike,Dunk Low,Skate,Women,2022-02-18,2022,110,Brown,Brown/Green/Pink,55,-50,0,
301,Air Jordan 1 Retro High OG Brotherhood,Jordan,Air Jordan 1,Basketball,Men,2022-02-24,2022,170,Yellow,University Gold/Light Bordeaux/White,85,-50,0,
302,Nike Air Max 270 Triple Black,Nike,Air Max 270,Running,Men,2018-03-16,2018,150,Black,Black/Black/Black,90,-40,0,
303,Nike Dunk Low Retro QS Argon (2022),Nike,Dunk Low,Skate,Men,2022-10-08,2022,130,Blue,Flash White/Argon Blue/Flash,195,50,0,
304,New Balance 9060 Blue Haze,New Balance,9060,Lifestyle,Men,2023-02-03,2023,150,Blue,Blue Haze/Turtledove,225,50,0,
305,Air Jordan 1 Retro High OG Heritage,Jordan,Air Jordan 1,Basketball,Men,2022-04-09,2022,170,Red,White/University Red/Black,119,-30,0,
306,Air Jordan 1 Retro High OG Lucky Green (2023),Jordan,Air Jordan 1,Basketball,Men,2023-04-15,2023,180,Green,Black/Lucky Green/White,270,50,0,
307,Air Jordan 1 Retro High OG Stealth,Jordan,Air Jordan 1,Basketball,Men,2022-08-30,2022,180,Grey,Stealth/White,126,-30,0,
308,Air Jordan 1 Retro High OG Volt,Jordan,Air Jordan 1,Basketball,Men,2022-06-11,2022,170,Yellow,Volt/Black/Sail,85,-50,0,
309,Air Jordan 1 Retro High OG Gorge Green,Jordan,Air Jordan 1,Basketball,Men,2022-12-20,2022,180,Green,Gorge Green/Metallic Silver/White,270,50,0,
310,Air Jordan 1 Retro High OG Washed Black,Jordan,Air Jordan 1,Basketball,Men,2023-06-10,2023,180,Grey,Black/Fire Red/Light Smoke Grey,180,0,0,
311,Air Jordan 4 Retro Thunder (2023),Jordan,Air Jordan 4,Basketball,Men,2023-05-13,2023,210,Black,Black/Tour Yellow,315,50,0,
312,Air Jordan 4 Retro Craft Olive,Jordan,Air Jordan 4,Basketball,Men,2023-11-18,2023,210,Green,Medium Olive/Pale Vanilla/Khaki,157.5,-25,0,
313,Air Jordan 4 Retro Seafoam,Jordan,Air Jordan 4,Basketball,Women,2023-02-09,2023,210,Green,White/Seafoam/Dark Ash,315,50,0,
314,Air Jordan 4 Retro Frozen Moments,Jordan,Air Jordan 4,Basketball,Women,2023-08-26,2023,210,Grey,Light Iron Ore/Sail/Neutral Grey,420,100,0,
315,Air Jordan 4 Retro Midnight Navy GS,Jordan,Air Jordan 4,Basketball,GS,2022-10-29,2022,160,Blue,White/Midnight Navy/Light Smoke Grey,160,0,0,
316,Air Jordan 1 Mid Chicago Toe,Jordan,Air Jordan 1 Mid,Basketball,Men,2019-04-01,2019,120,Red,Black/Gym Red/White,90,-25,0,
317,Air Jordan 1 Mid UNC,Jordan,Air Jordan 1 Mid,Basketball,Men,2019-06-01,2019,110,Blue,White/University Blue,165,50,0,
318,Air Jordan 1 Mid Light Smoke Grey,Jordan,Air Jordan 1 Mid,Basketball,Men,2020-07-01,2020,115,Grey,Light Smoke Grey/Black/White,172.5,50,0,
319,Air Jordan 1 Low Starfish,Jordan,Air Jordan 1 Low,Basketball,Men,2019-08-01,2019,90,Orange,White/Starfish/Black,45,-50,0,
320,Air Jordan 1 Low Reverse Bred,Jordan,Air Jordan 1 Low,Basketball,Men,2020-01-01,2020,90,Red,Gym Red/Black/White,135,50,0,
321,Nike Dunk Low Retro Black White (Women),Nike,Dunk Low,Skate,Women,2021-03-10,2021,100,Black,White/Black,150,50,0,
322,Nike Dunk Low Light Bone,Nike,Dunk Low,Skate,Men,2021-09-01,2021,100,Grey,Light Bone/White,75,-25,0,
323,Nike Dunk Low Retro Championship Court Purple,Nike,Dunk Low,Skate,Men,2021-05-05,2021,100,Purple,White/Court Purple,150,50,0,
324,Nike Dunk Low Retro Photon Dust (Women),Nike,Dunk Low,Skate,Women,2021-04-16,2021,100,Grey,Photon Dust/White,100,0,0,
325,Nike Dunk Low Retro Venice (Women),Nike,Dunk Low,Skate,Women,2021-09-01,2021,100,Purple,Venice/White,75,-25,0,
326,Nike Dunk Low Next Nature White Gym Red,Nike,Dunk Low,Skate,Men,2021-11-01,2021,105,Red,White/Gym Red,157.5,50,0,
327,Nike Dunk Low Retro Grey Fog,Nike,Dunk Low,Skate,Men,2021-09-21,2021,100,Grey,Grey Fog/White,200,100,0,
328,Nike Dunk Low Retro Green Glow (Women),Nike,Dunk Low,Skate,Women,2021-04-16,2021,100,Green,White/Green Glow,50,-50,0,
329,Nike Dunk Low Disrupt Photon Dust (Women),Nike,Dunk Low Disrupt,Skate,Women,2020-09-04,2020,110,Grey,Photon Dust/White/Summit White,82.5,-25,0,
330,Nike Dunk High Vast Grey,Nike,Dunk High,Skate,Women,2021-01-14,2021,110,Grey,White/Vast Grey,165,50,0,
331,Nike Air Max 270 React ENG Blue Void,Nike,Air Max 270 React ENG,Running,Men,2020-01-16,2020,170,Blue,Blue Void/Black/Green Strike,85,-50,0,
332,Nike Air Max 270 React Bauhaus,Nike,Air Max 270 React,Running,Men,2019-07-03,2019,150,Multi,White/University Red/Blue/Yellow,225,50,0,
333,Nike Air Max 270 Bowfin Desert,Nike,Air Max 270 Bowfin,Running,Men,2018-10-11,2018,160,Brown,Desert/Black,80,-50,0,
334,Nike Air Max 95 Neon (2015),Nike,Air Max 95,Running,Men,2015-12-17,2015,170,Green,Cool Grey/Volt/Black,340,100,0,
335,Nike Air Max 95 Greedy,Nike,Air Max 95,Running,Men,2015-10-29,2015,180,Grey,Grey/Volt/Neon/Orange,270,50,0,
336,Nike Air Max 97 Triple White,Nike,Air Max 97,Running,Men,2017-05-01,2017,160,White,White/White,120,-25,0,
337,Nike Air Max 97 SE Corduroy Pack,Nike,Air Max 97,Running,Men,2018-03-17,2018,170,Pink,Pink/Royal Blue/Volt,510,200,0,
338,Nike Air Max 270 React Travis Scott Cactus Trails,Nike,Air Max 270 React,Running,Men,2020-05-29,2020,170,Brown,Light Cream/Starfish/Dark Hazel,850,400,1,Travis Scott
339,Nike Air Max 270 React ENG Travis Scott,Nike,Air Max 270 React ENG,Running,Men,2020-05-29,2020,170,Brown,Dark Smoke Grey/Black,850,400,1,Travis Scott
340,Nike Air Max 1 Kasina Won Ang Orange,Nike,Air Max 1,Running,Men,2022-06-04,2022,160,Orange,Orange/Peach/White,480,200,1,Kasina
341,adidas Ultraboost 21 Core Black,adidas,Ultraboost 21,Running,Men,2021-01-28,2021,180,Black,Core Black/Core Black,135,-25,0,
342,adidas Ultraboost 21 Solar Yellow,adidas,Ultraboost 21,Running,Men,2021-02-01,2021,180,Yellow,Solar Yellow/Core Black,270,50,0,
343,adidas Ultraboost 22 Triple White Women,adidas,Ultraboost 22,Running,Women,2021-12-09,2021,190,White,Footwear White/Footwear White,190,0,0,
344,adidas Ultraboost 20 NASA,adidas,Ultraboost 20,Running,Men,2019-12-06,2019,180,Silver,Silver Metallic/Core Black,360,100,1,NASA
345,adidas Solarboost 3 Black,adidas,Solarboost 3,Running,Men,2020-06-01,2020,160,Black,Core Black/Core Black,80,-50,0,
346,adidas Adizero Adios Pro 3 White,adidas,Adizero Adios Pro 3,Running,Men,2022-09-15,2022,250,White,Footwear White/Core Black,375,50,0,
347,adidas Adizero Boston 11 Pulse Mint,adidas,Adizero Boston 11,Running,Men,2022-06-01,2022,160,Green,Pulse Mint/Core Black,120,-25,0,
348,adidas Forum 84 High White Blue,adidas,Forum 84 High,Lifestyle,Men,2021-02-01,2021,120,Blue,Cloud White/Blue,90,-25,0,
349,adidas Forum 84 Low White Green,adidas,Forum 84 Low,Lifestyle,Men,2021-04-01,2021,110,Green,Cloud White/Green,165,50,0,
350,adidas Rivalry Low 86 White Orange,adidas,Rivalry Low 86,Lifestyle,Men,2022-03-01,2022,110,Orange,Cloud White/Orange,55,-50,0,
351,Yeezy Boost 350 V2 Tail Light,Yeezy,Yeezy Boost 350 V2,Lifestyle,Men,2020-02-22,2020,220,Grey,Tail Light/Grey/Orange,440,100,0,
352,Yeezy Boost 350 V2 Linen,Yeezy,Yeezy Boost 350 V2,Lifestyle,Men,2020-04-18,2020,220,Tan,Linen/Light Blue,330,50,0,
353,Yeezy Boost 350 V2 Israfil,Yeezy,Yeezy Boost 350 V2,Lifestyle,Men,2020-08-22,2020,220,Grey,Israfil/Grey/Orange,220,0,0,
354,Yeezy Boost 380 Calcite Glow,Yeezy,Yeezy Boost 380,Lifestyle,Men,2020-10-31,2020,250,White,Calcite Glow/White,375,50,0,
355,Yeezy 450 Cloud White,Yeezy,Yeezy 450,Lifestyle,Men,2021-03-06,2021,200,White,Cloud White/Cloud White,400,100,0,
356,Yeezy Slide Soot,Yeezy,Yeezy Slide,Slides,Men,2020-09-04,2020,55,Brown,Soot/Soot,82.5,50,0,
357,Yeezy Slide Enflame Orange,Yeezy,Yeezy Slide,Slides,Men,2021-06-21,2021,60,Orange,Enflame Orange/Enflame Orange,180,200,0,
358,Yeezy Slide Glow Green (2022 Restock),Yeezy,Yeezy Slide,Slides,Men,2022-05-16,2022,70,Green,Glow Green/Glow Green,140,100,0,
359,Yeezy Foam RNNR MX Cream Clay,Yeezy,Foam RNNR,Slides,Men,2021-08-02,2021,80,Tan,MX Cream Clay/Multi,160,100,0,
360,Yeezy Foam RNNR MX Sand Grey,Yeezy,Foam RNNR,Slides,Men,2021-12-11,2021,80,Grey,MX Sand Grey/Multi,120,50,0,
361,New Balance 550 White Green GS,New Balance,550,Basketball,GS,2022-04-01,2022,95,White,White/Green,71.25,-25,0,
362,New Balance 550 White Pink Women,New Balance,550,Basketball,Women,2022-05-01,2022,120,Pink,White/Pink,180,50,0,
363,New Balance 550 UNC GS,New Balance,550,Basketball,GS,2021-06-01,2021,95,Blue,White/Carolina Blue,142.5,50,0,
364,New Balance 650R Aime Leon Dore White Green,New Balance,650R,Basketball,Men,2022-04-16,2022,165,Green,White/Green,660,300,1,Aime Leon Dore
365,New Balance 650R Aime Leon Dore White Red,New Balance,650R,Basketball,Men,2022-04-16,2022,165,Red,White/Red,825,400,1,Aime Leon Dore
366,New Balance 2002R Salehe Bembury Water Be the Guide,New Balance,2002R,Lifestyle,Men,2021-06-25,2021,150,Green,Green/Orange/Blue,750,400,1,Salehe Bembury
367,New Balance 2002R Aime Leon Dore Rain Cloud,New Balance,2002R,Lifestyle,Men,2021-10-09,2021,150,Grey,Rain Cloud/Grey,450,200,1,Aime Leon Dore
